,precision,recall,f1-score,support
Society & Culture,0.657826066328225,0.6602380952380953,0.6590298738027901,21000.0
Science & Mathematics,0.72001814582646,0.8313809523809523,0.7717026166902404,21000.0
Health,0.7983823328940791,0.8366666666666667,0.8170762899062943,21000.0
Education & Reference,0.6481015489571101,0.5519047619047619,0.5961474166088008,21000.0
Computers & Internet,0.8145236283709527,0.9176190476190477,0.8630032692910564,21000.0
Sports,0.9110048295587753,0.9251904761904762,0.9180428568053488,21000.0
Business & Finance,0.7101861252115059,0.49964287414885006,0.5865943649373881,21001.0
Entertainment & Music,0.8057737427318168,0.7522857142857143,0.7781116091218047,21000.0
Family & Relationships,0.7439958681243006,0.8231428571428572,0.7815707374417868,21000.0
Politics & Government,0.7890110880735599,0.8335714285714285,0.8106793868383272,21000.0
accuracy,0.7631630325569878,0.7631630325569878,0.7631630325569878,0.7631630325569878
macro avg,0.7598823376076785,0.763164287414885,0.7581958421443837,210001.0
weighted avg,0.7598821009601749,0.7631630325569878,0.7581950249983835,210001.0
